Production Budget ($),Worldwide Gross ($)
"$3,000,000 ","$24,600,000 "
"$3,000,000 ","$10,400,000 "
"$12,000,000 ","$60,000,000 "
"$12,000,000 ","$7,900,000 "
"$4,000,000 ","$8,200,000 "
"$3,000,000 ","$10,000,000 "
"$2,900,000 ","$5,000,000 "
"$2,000,000 ","$7,600,000 "
"$6,000,000 ","$43,700,000 "
"$3,200,000 ","$8,000,000 "
"$2,000,000 ","$9,250,000 "
"$10,000,000 ","$50,100,000 "
"$19,000,000 ","$13,680,000 "
"$4,500,000 ","$3,500,000 "
"$15,000,000 ","$69,995,385 "
"$2,000,000 ","$13,129,846 "
"$17,000,000 ","$10,000,000 "
"$2,686,000 ","$6,600,000 "
"$2,500,000 ","$10,000,000 "
"$1,000,000 ","$37,600,000 "
"$9,400,000 ","$60,000,000 "
"$1,000,000 ","$59,567,035 "
"$4,000,000 ","$11,744,471 "
"$42,000,000 ","$71,000,000 "
"$19,000,000 ","$4,750,000 "
"$1,800,000 ","$9,164,370 "
"$2,000,000 ","$78,900,000 "
"$6,000,000 ","$102,300,000 "
"$17,000,000 ","$72,070,955 "
"$560,000 ","$1,597,233 "
"$3,000,000 ","$124,900,000 "
"$8,200,000 ","$286,214,286 "
"$20,000,000 ","$15,473,333 "
"$5,800,000 ","$6,800,000 "
"$3,800,000 ","$14,873 "
"$11,000,000 ","$111,859,493 "
"$9,000,000 ","$141,200,000 "
"$3,500,000 ","$12,000,000 "
"$3,000,000 ","$13,000,000 "
"$15,000,000 ","$34,562,222 "
"$3,900,000 ","$28,350,000 "
"$3,500,000 ","$13,007,551 "
"$200,000 ","$3,500,000 "
"$2,000,000 ","$24,391,108 "
"$12,000,000 ","$41,744,718 "
"$9,500,000 ","$111,600,000 "
"$600,000 ","$4,300,000 "
"$1,200,000 ","$6,100,000 "
"$1,455,000 ","$2,620,000 "
"$114,000 ","$30,000,000 "
"$10,500,000 ","$68,700,000 "
"$1,800,000 ","$6,800,000 "
"$747,000 ","$44,566 "
"$5,800,000 ","$33,395,426 "
"$9,000,000 ",$0 
"$10,000,000 ","$37,402,877 "
"$3,200,000 ","$33,395,426 "
"$20,000,000 ","$8,000,000 "
"$3,600,000 ","$44,785,053 "
"$5,000,000 ","$5,321,508 "
"$6,000,000 ","$509,424 "
"$200,000 ","$25,000,000 "
"$20,000,000 ","$31,678,778 "
"$6,000,000 ","$102,308,900 "
"$24,000,000 ","$33,208,099 "
"$8,000,000 ","$82,000,000 "
"$4,000,000 ","$6,000,000 "
"$25,000,000 ",$0 
"$22,000,000 ","$5,000,000 "
"$12,000,000 ","$62,500,000 "
"$11,000,000 ","$2,200,000 "
"$3,500,000 ","$81,600,000 "
"$1,000,000 ","$9,000,000 "
"$600,000 ","$34,505,110 "
"$3,716,946 ","$5,000,000 "
"$3,000,000 ","$17,489,009 "
"$18,000,000 ","$24,911,670 "
"$25,000,000 ","$29,548,291 "
"$9,000,000 ","$80,500,000 "
"$6,500,000 ","$12,376,563 "
"$2,500,000 ","$12,300,000 "
"$150,000 ","$15,200,000 "
"$2,000,000 ",$0 
"$3,000,000 ","$4,000,000 "
"$2,200,000 ","$41,158,757 "
"$7,200,000 ","$116,000,000 "
"$1,700,000 ","$9,700,000 "
"$7,000,000 ","$268,500,000 "
"$3,500,000 ","$12,600,000 "
"$25,000 ","$45,000,000 "
"$87,000 ","$3,100,000 "
"$4,000,000 ",$0 
"$2,000,000 ","$18,016,290 "
"$1,800,000 ","$8,800,000 "
"$4,638,783 ","$11,000,000 "
"$7,000,000 ","$161,800,000 "
"$5,500,000 ","$15,700,000 "
"$777,000 ","$140,000,000 "
"$2,000,000 ","$18,344,729 "
"$5,500,000 ","$159,616,327 "
"$12,000,000 ","$400,214,478 "
"$2,600,000 ","$119,500,000 "
"$7,000,000 ","$26,533,200 "
"$1,600,000 ","$4,420,000 "
"$140,000 ","$26,572,439 "
"$13,000,000 ","$57,300,000 "
"$500,000 ","$31,559,560 "
"$2,800,000 ","$86,300,000 "
"$14,000,000 ","$139,700,000 "
"$4,000,000 ","$15,000,000 "
"$7,000,000 ","$97,600,000 "
"$11,000,000 ","$20,169,934 "
"$300,000 ",$0 
"$5,000,000 ","$41,833,347 "
"$12,000,000 ","$470,700,000 "
"$1,200,000 ","$140,556,781 "
"$400,000 ","$5,028,948 "
"$3,000,000 ","$20,123,742 "
"$4,400,000 ","$108,981,275 "
"$7,000,000 ","$25,000,000 "
"$3,800,000 ","$23,689,877 "
"$1,200,000 ","$887,000 "
"$4,400,000 ","$36,145,695 "
"$2,800,000 ","$48,570,885 "
"$1,000,000 ","$28,316,211 "
"$3,000,000 ","$13,200,000 "
"$5,000,000 ","$8,000,000 "
"$1,800,000 ","$25,878,153 "
"$1,000,000 ","$225,000,000 "
"$23,000,000 ","$90,614,445 "
"$500,000 ","$17,000,000 "
"$100,000 ","$7,012,524 "
"$10,000,000 ","$36,000,000 "
"$4,000,000 ","$38,251,425 "
"$7,000,000 ","$1,000,000 "
"$11,000,000 ","$786,598,007 "
"$26,000,000 ","$50,800,000 "
"$14,000,000 ","$25,011,000 "
"$14,000,000 ","$13,800,000 "
"$21,600,000 ","$12,000,000 "
"$14,000,000 ","$185,400,000 "
"$600,000 ","$20,000,000 "
"$17,000,000 ",$0 
"$20,000,000 ","$337,700,000 "
"$3,400,000 ","$31,063,038 "
"$14,000,000 ","$1,000,000 "
"$12,000,000 ","$19,000,000 "
"$3,000,000 ","$32,653,000 "
"$11,000,000 ","$20,388,920 "
"$20,000,000 ","$208,900,376 "
"$6,000,000 ","$387,513,770 "
"$15,000,000 ","$98,800,000 "
"$3,000,000 ","$141,600,000 "
"$3,000,000 ","$3,660,880 "
"$325,000 ","$70,000,000 "
"$24,000,000 ","$13,000,000 "
"$55,000,000 ","$300,200,000 "
"$5,000,000 ","$7,100,000 "
"$15,000,000 ","$50,000,000 "
"$6,000,000 ","$391,942 "
"$1,500,000 ","$55,000,000 "
"$12,500,000 ","$7,000,000 "
"$9,000,000 ","$203,630,630 "
"$12,000,000 ","$22,673,340 "
"$8,000,000 ","$76,657,000 "
"$8,000,000 ","$43,000,000 "
"$31,000,000 ","$210,300,000 "
"$170,000 ","$14,000 "
"$8,500,000 ","$29,200,000 "
"$35,000,000 ","$139,000,000 "
"$31,500,000 ","$81,250,488 "
"$4,000,000 ","$20,008,693 "
"$2,700,000 ","$37,799,643 "
"$16,000,000 ","$8,400,000 "
"$32,000,000 ","$94,875,000 "
"$20,000,000 ","$35,841,901 "
"$35,000,000 ","$1,500,000 "
"$6,500,000 ","$31,899,000 "
"$3,500,000 ","$8,000,000 "
"$350,000 ","$10,000,000 "
"$1,000,000 ","$21,378,361 "
"$40,000,000 ","$7,000,000 "
"$5,100,000 ","$9,709,597 "
"$5,000,000 ","$26,010,864 "
"$200,000 ","$99,750,000 "
"$3,500,000 ","$83,453,539 "
"$35,000,000 ","$27,107,960 "
"$10,000,000 ","$15,198,912 "
"$400,000 ","$89,134 "
"$23,000,000 ","$534,171,960 "
"$19,000,000 ","$44,391,156 "
"$5,500,000 ","$4,865,000 "
"$22,000,000 ","$15,716,828 "
"$27,000,000 ","$57,229,890 "
"$20,000,000 ","$2,000,000 "
"$4,500,000 ","$47,923,795 "
"$15,000,000 ","$67,182,787 "
"$6,000,000 ","$39,846,344 "
"$550,000 ","$59,754,601 "
"$6,000,000 ","$52,302,978 "
"$100,000 ","$287,000 "
"$15,000,000 ","$69,847,348 "
"$18,000,000 ","$23,380,203 "
"$44,000,000 ","$3,484,523 "
"$20,000,000 ","$49,823,037 "
"$17,000,000 ","$2,110,050 "
"$250,000 ","$23,894,000 "
"$12,000,000 ","$44,200,000 "
"$33,500,000 ","$50,000,000 "
"$1,250,000 ","$21,722,776 "
"$18,000,000 ","$13,400,000 "
"$6,500,000 ","$42,488,161 "
"$12,000,000 ","$37,400,000 "
"$54,000,000 ","$108,185,706 "
"$28,000,000 ","$195,300,000 "
"$18,000,000 ","$6,000,000 "
"$10,000,000 ","$85,300,000 "
"$9,300,000 ","$19,571,091 "
"$18,000,000 ","$13,747,234 "
"$20,000,000 ","$18,826,490 "
"$3,000,000 ","$5,732,587 "
"$14,000,000 ","$35,856,053 "
"$5,000,000 ","$25,032,000 "
"$5,500,000 ","$57,467,731 "
"$5,000,000 ","$19,600,000 "
"$1,000,000 ","$17,985,000 "
"$6,000,000 ","$25,244,700 "
"$2,500,000 ","$25,533,818 "
"$10,000,000 ","$11,400,000 "
"$12,000,000 ","$2,104,164 "
"$20,000,000 ","$389,925,971 "
"$15,000,000 ","$44,400,000 "
"$11,000,000 ","$31,672,000 "
"$10,000,000 ","$6,000,000 "
"$8,000,000 ","$24,474,312 "
"$13,500,000 ","$6,118,683 "
"$12,500,000 ","$21,000,000 "
"$5,000,000 ","$12,592,907 "
"$5,000,000 ","$20,659,423 "
"$4,000,000 ","$109,492,484 "
"$12,000,000 ","$95,800,000 "
"$10,700,000 ","$121,706,019 "
"$20,000,000 ","$79,114,085 "
"$2,000,000 ","$24,600,832 "
"$21,000,000 ","$45,785,720 "
"$28,000,000 ","$33,139,618 "
"$18,000,000 ","$5,675,599 "
"$20,500,000 ","$69,701,637 "
"$22,000,000 ","$127,767,889 "
"$16,000,000 ","$53,977,250 "
"$4,500,000 ","$27,092,880 "
"$2,250,000 ","$36,690,067 "
"$5,000,000 ","$10,751,126 "
"$3,250,000 ","$6,965,361 "
"$5,000,000 ","$3,707,583 "
"$17,000,000 ","$26,918,576 "
"$46,000,000 ","$4,408,636 "
"$12,000,000 ","$84,970,337 "
"$8,000,000 ","$20,036,244 "
"$14,000,000 ","$125,212,904 "
"$2,500,000 ","$14,400,000 "
"$10,500,000 ","$792,965,326 "
"$1,200,000 ","$255,000 "
"$12,500,000 ","$20,959,585 "
"$15,000,000 ","$177,200,000 "
"$400,000 ","$126,387 "
"$10,100,000 ","$10,143,618 "
"$12,000,000 ","$74,433,837 "
"$10,000,000 ","$25,697,647 "
"$5,952,000 ","$2,120,439 "
"$7,000,000 ","$201,463,574 "
"$5,000,000 ","$12,232,628 "
"$375,000 ","$29,400,000 "
"$32,500,000 ","$572,705,079 "
"$39,000,000 ","$59,950,623 "
"$10,000,000 ","$29,500,000 "
"$36,000,000 ","$160,000,000 "
"$15,000,000 ","$61,400,000 "
"$7,000,000 ","$1,246,141 "
"$1,305,000 ","$909,000 "
"$25,000,000 ","$44,942,821 "
"$15,000,000 ","$8,921,050 "
"$27,500,000 ","$187,500,000 "
"$27,000,000 ","$21,500,000 "
"$10,000,000 ","$20,766,000 "
"$8,000,000 ","$589,308 "
"$12,000,000 ","$39,012,241 "
"$3,250,000 ","$20,605,209 "
"$30,000,000 ","$5,564,014 "
"$18,000,000 ","$87,000,000 "
"$1,500,000 ","$2,300,000 "
"$8,200,000 ","$80,000,000 "
"$9,000,000 ","$13,075,390 "
"$4,500,000 ","$81,198,894 "
"$2,600,000 ","$32,980,880 "
"$550,000 ","$5,269,990 "
"$15,000,000 ","$316,300,000 "
"$28,000,000 ","$333,080,271 "
"$8,000,000 ","$90,815,558 "
"$18,000,000 ","$26,400,000 "
"$27,000,000 ","$21,300,000 "
"$30,000,000 ","$295,212,467 "
"$11,000,000 ","$148,168,459 "
"$25,000,000 ","$5,778,353 "
"$1,250,000 ","$4,700,000 "
"$8,000,000 ","$62,599,495 "
"$7,500,000 ","$5,142,858 "
"$1,800,000 ","$25,504,513 "
"$18,000,000 ","$51,973,029 "
"$10,000,000 ","$8,801,940 "
"$6,400,000 ","$78,019,031 "
"$15,000,000 ","$15,136,870 "
"$48,000,000 ","$25,928,721 "
"$45,000,000 ","$27,447,471 "
"$27,500,000 ","$27,187,653 "
"$475,000 ",$0 
"$3,000,000 ","$21,163,999 "
"$1,500,000 ","$2,730,877 "
"$19,000,000 ","$385,524,862 "
"$1,300,000 ","$210,904 "
"$10,000,000 ","$33,000,000 "
"$2,200,000 ","$21,930,418 "
"$10,000,000 ","$35,073,978 "
"$18,000,000 ","$19,739,000 "
"$44,000,000 ","$300,400,000 "
"$30,000,000 ","$152,627,960 "
"$2,000,000 ","$1,663,296 "
"$27,000,000 ","$10,618,813 "
"$25,000,000 ","$11,603,545 "
"$17,900,000 ","$6,905,861 "
"$6,900,000 ","$41,410,568 "
"$3,500,000 ","$34,004,262 "
"$12,000,000 ","$65,532,576 "
"$4,000,000 ","$14,237,880 "
"$10,000,000 ","$17,536,256 "
"$26,000,000 ","$33,200,000 "
"$10,000,000 ","$36,230,219 "
"$3,000,000 ","$11,052,713 "
"$7,000,000 ","$10,803,211 "
"$20,000,000 ","$18,400,000 "
"$31,000,000 ","$258,210,860 "
"$15,000,000 ","$93,589,701 "
"$15,000,000 ","$9,930,649 "
"$400,000 ",$0 
"$40,000,000 ","$6,341,825 "
"$25,000,000 ","$11,100,000 "
"$30,000,000 ","$16,295,774 "
"$3,000,000 ","$19,472,057 "
"$15,000,000 ","$1,953,732 "
"$18,000,000 ","$6,734,844 "
"$35,000,000 ","$2,000,000 "
"$5,000,000 ","$12,947,763 "
"$25,000,000 ","$23,506,237 "
"$4,500,000 ","$1,500,000 "
"$18,000,000 ","$1,305,114 "
"$15,000,000 ","$356,800,601 "
"$12,000,000 ","$4,984,663 "
"$40,000,000 ","$49,851,591 "
"$16,000,000 ","$12,900,000 "
"$3,000,000 ","$20,966,644 "
"$17,000,000 ","$183,316,455 "
"$8,000,000 ","$52,287,414 "
"$175,000 ","$7,137,502 "
"$4,700,000 ","$8,025,872 "
"$17,000,000 ","$2,315,000 "
"$8,800,000 ","$328,203,506 "
"$18,000,000 ","$41,382,841 "
"$10,000,000 ","$52,293,000 "
"$24,000,000 ","$133,000,000 "
"$12,000,000 ","$79,817,937 "
"$30,000,000 ","$38,747,385 "
"$6,000,000 ","$137,963,328 "
"$2,000,000 ","$7,369,373 "
"$2,600,000 ","$3,147,950 "
"$350,000 ","$4,000,000 "
"$100,000 ","$5,228,617 "
"$10,000,000 ","$3,000,000 "
"$3,500,000 ","$14,000,000 "
"$16,000,000 ","$14,792,779 "
"$5,000,000 ","$44,793,222 "
"$25,000,000 ","$76,270,454 "
"$3,500,000 ","$5,923,044 "
"$4,000,000 ","$800,000 "
"$1,100,000 ","$1,355,728 "
"$40,000,000 ","$14,375,181 "
"$20,000,000 ","$276,665,036 "
"$15,000,000 ","$120,192,350 "
"$29,000,000 ","$25,899,797 "
"$2,300,000 ",$0 
"$22,700,000 ","$38,119,483 "
"$23,000,000 ","$15,728,335 "
"$13,000,000 ","$53,424,681 "
"$17,000,000 ","$11,227,824 "
"$6,500,000 ","$54,215,416 "
"$40,000,000 ","$191,200,000 "
"$8,500,000 ","$32,222,567 "
"$1,900,000 ","$4,600,000 "
"$14,000,000 ","$320,100,000 "
"$1,000,000 ","$14,564,000 "
"$15,000,000 ","$30,857,000 "
"$16,500,000 ","$43,848,100 "
"$30,000,000 ","$38,122,000 "
"$25,000,000 ","$43,988,888 "
"$3,000,000 ","$7,888,000 "
"$15,000,000 ","$167,780,960 "
"$18,000,000 ","$98,267,558 "
"$13,000,000 ","$123,922,370 "
"$25,000,000 ","$16,118,077 "
"$5,000,000 ","$17,768,757 "
"$4,000,000 ","$3,468,572 "
"$6,200,000 ","$9,205,924 "
"$1,500,000 ","$11,806,119 "
"$18,000,000 ","$151,668,774 "
"$15,000,000 ","$73,326,666 "
"$4,000,000 ","$354,704 "
"$4,000,000 ","$13,000,000 "
"$4,700,000 ","$1,705,139 "
"$2,800,000 ","$19,170,001 "
"$58,000,000 ","$188,715,611 "
"$14,000,000 ","$239,606,210 "
"$70,000,000 ","$351,500,000 "
"$28,000,000 ","$139,109,346 "
"$30,000,000 ","$81,613,606 "
"$3,000,000 ","$7,282,851 "
"$13,000,000 ","$49,369,899 "
"$9,000,000 ","$44,196,684 "
"$16,000,000 ","$13,854,000 "
"$15,000,000 ","$216,600,000 "
"$9,500,000 ","$14,114,000 "
"$6,000,000 ","$12,793,213 "
"$12,300,000 ","$81,972,846 "
"$32,000,000 ","$59,450,353 "
"$7,000,000 ","$20,257,000 "
"$6,000,000 ","$14,545,844 "
"$13,000,000 ","$44,726,644 "
"$7,000,000 ","$8,373,585 "
"$25,000,000 ","$412,800,000 "
"$14,000,000 ","$34,700,000 "
"$15,000,000 ","$10,763,469 "
"$16,400,000 ","$239,500,000 "
"$10,000,000 ","$40,485,039 "
"$18,000,000 ","$7,190,505 "
"$1,200,000 ","$36,741,667 "
"$11,500,000 ","$57,469,179 "
"$10,000,000 ","$30,050,028 "
"$48,000,000 ","$474,171,806 "
"$35,000,000 ","$411,348,924 "
"$6,000,000 ","$26,004,026 "
"$11,000,000 ","$49,793,054 "
"$42,000,000 ","$156,167,015 "
"$16,000,000 ","$92,961,960 "
"$5,000,000 ","$6,157,157 "
"$5,000,000 ","$14,343,976 "
"$1,500,000 ","$14,533,681 "
"$9,000,000 ","$10,176,701 "
"$30,000,000 ","$70,200,000 "
"$70,000,000 ","$54,243,125 "
"$19,000,000 ","$58,571,513 "
"$30,000,000 ","$45,892,212 "
"$6,000,000 ","$11,642,254 "
"$6,000,000 ","$22,168,359 "
"$30,000,000 ","$95,857,262 "
"$40,000,000 ","$332,000,000 "
"$18,000,000 ","$26,593,580 "
"$7,500,000 ","$106,593,296 "
"$20,000,000 ","$10,555,348 "
"$14,000,000 ","$70,001,698 "
"$140,000 ","$6,706,368 "
"$55,000,000 ","$63,408,614 "
"$1,600,000 ","$419,428 "
"$65,000,000 ","$261,400,000 "
"$10,000,000 ","$16,667,084 "
"$30,000,000 ","$200,500,000 "
"$7,700,000 ","$882,290 "
"$70,000,000 ","$239,814,025 "
"$10,000,000 ","$16,153,000 "
"$430,000 ","$2,938,000 "
"$14,000,000 ","$432,645,872 "
"$13,500,000 ","$202,000,000 "
"$3,000,000 ","$15,000,000 "
"$40,000,000 ","$244,088,654 "
"$50,000,000 ","$41,476,097 "
"$47,000,000 ","$162,738,726 "
"$60,000,000 ","$157,670,733 "
"$20,000,000 ","$53,976,987 "
"$22,000,000 ","$517,600,000 "
"$31,000,000 ","$53,208,180 "
"$19,000,000 ","$424,200,000 "
"$13,000,000 ","$34,166,572 "
"$25,000,000 ","$46,777,347 "
"$7,000,000 ","$4,372,561 "
"$26,000,000 ","$61,308,153 "
"$20,000,000 ","$21,413,105 "
"$4,200,000 ","$5,835,247 "
"$49,000,000 ","$20,423,389 "
"$15,000,000 ","$476,684,675 "
"$35,000,000 ","$54,768,418 "
"$26,000,000 ","$202,000,000 "
"$54,000,000 ","$66,520,529 "
"$500,000 ",$0 
"$11,000,000 ","$2,000,000 "
"$8,000,000 ","$2,275,557 "
"$500,000 ","$55,000 "
"$450,000 ","$2,712,293 "
"$40,000,000 ","$34,416,893 "
"$8,500,000 ","$15,024,232 "
"$35,000 ","$321,952 "
"$23,000 ","$1,227,508 "
"$35,000,000 ","$14,471,440 "
"$14,000,000 ","$34,729,091 "
"$100,000,000 ","$513,815,401 "
"$20,000,000 ","$275,726,716 "
"$25,000,000 ","$78,656,813 "
"$25,000,000 ","$9,286,314 "
"$65,000,000 ","$17,218,916 "
"$27,000,000 ","$96,900,000 "
"$50,000,000 ","$390,500,000 "
"$23,000,000 ","$86,930,411 "
"$20,000,000 ","$37,537,675 "
"$7,000,000 ","$5,017,971 "
"$23,000,000 ","$7,018,525 "
"$6,000,000 ","$773,490 "
"$16,000,000 ","$29,090,445 "
"$5,000,000 ","$34,872,033 "
"$24,000,000 ","$41,798,224 "
"$2,500,000 ","$6,401,336 "
"$7,000,000 ","$8,824,553 "
"$5,000,000 ","$19,438,638 "
"$9,000,000 ","$349,618 "
"$70,000,000 ","$300,854,823 "
"$20,000,000 ","$451,329,842 "
"$35,000,000 ","$182,291,969 "
"$30,000,000 ","$191,502,246 "
"$16,500,000 ","$58,011,485 "
"$24,000,000 ","$83,531,958 "
"$6,500,000 ","$56,200,634 "
"$40,000,000 ","$205,400,000 "
"$30,000,000 ","$74,787,599 "
"$11,000,000 ","$81,204,830 "
"$7,000,000 ","$5,430,822 "
"$42,000,000 ","$131,052,444 "
"$40,000,000 ","$132,440,066 "
"$42,000,000 ","$66,787,173 "
"$10,000,000 ","$50,752,337 "
"$20,000,000 ","$183,097,323 "
"$35,000,000 ","$4,651,977 "
"$40,000,000 ","$14,358,033 "
"$11,000,000 ","$52,929,168 "
"$8,000,000 ","$26,199,377 "
"$5,000,000 ","$1,526,697 "
"$45,000,000 ","$178,100,000 "
"$35,000,000 ","$319,700,000 "
"$55,000,000 ","$158,500,000 "
"$10,000,000 ","$32,100,816 "
"$80,000,000 ","$266,824,291 "
"$40,000,000 ","$44,948,240 "
"$14,400,000 ","$159,157,447 "
"$11,000,000 ","$21,171,695 "
"$55,000,000 ","$149,022,650 "
"$7,000,000 ","$14,231,669 "
"$5,000,000 ","$1,050,861 "
"$40,000,000 ","$75,505,856 "
"$12,500,000 ","$10,725,228 "
"$8,000,000 ","$28,876,702 "
"$1,200,000 ","$2,832,029 "
"$28,000,000 ","$504,050,219 "
"$33,000,000 ","$236,500,000 "
"$12,000,000 ","$27,281,507 "
"$40,000,000 ","$215,862,692 "
"$35,000,000 ","$48,169,910 "
"$20,000,000 ","$358,994,850 "
"$25,000,000 ","$410,900,000 "
"$4,000,000 ","$62,546,695 "
"$35,000,000 ","$28,391,473 "
"$2,000,000 ","$21,000 "
"$1,800,000 ",$673 
"$14,000,000 ","$155,056,263 "
"$800,000 ","$1,001,437 "
"$32,000,000 ","$36,299,670 "
"$15,000,000 ","$52,189,039 "
"$6,500,000 ","$24,103,594 "
"$11,000,000 ","$21,502,976 "
"$7,000 ","$2,041,928 "
"$12,000,000 ","$46,730,578 "
"$21,000,000 ","$42,273,609 "
"$35,000,000 ","$4,496,583 "
"$15,000,000 ","$9,579,068 "
"$13,000,000 ","$27,979,399 "
"$22,000,000 ","$10,696,210 "
"$15,000,000 ","$63,954,968 "
"$13,000,000 ","$1,152,117 "
"$3,500,000 ","$27,731,527 "
"$65,000,000 ","$255,000,000 "
"$42,000,000 ","$20,844,907 "
"$44,000,000 ","$353,715,317 "
"$85,000,000 ","$137,298,489 "
"$42,000,000 ","$270,340,892 "
"$8,000,000 ","$22,549,338 "
"$28,000,000 ","$39,360,491 "
"$20,000,000 ","$153,698,625 "
"$14,000,000 ","$27,450,453 "
"$25,000,000 ","$10,731,997 "
"$3,000,000 ","$15,935,068 "
"$6,000,000 ","$3,273,588 "
"$15,000,000 ","$39,100,956 "
"$34,000,000 ","$32,014,993 "
"$6,900,000 ","$7,950,889 "
"$3,000,000 ","$3,902,679 "
"$12,500,000 ","$12,309,980 "
"$63,000,000 ","$1,038,812,584 "
"$25,000,000 ","$441,286,003 "
"$19,000,000 ","$2,119,994 "
"$14,600,000 ","$70,906,973 "
"$3,000,000 ","$242,623 "
"$7,000,000 ","$40,157,856 "
"$25,000,000 ","$321,365,567 "
"$45,000,000 ","$187,995,859 "
"$26,000,000 ","$201,324,422 "
"$25,000,000 ","$56,505,065 "
"$11,000,000 ","$9,170,214 "
"$22,000,000 ","$25,842,377 "
"$50,000,000 ","$16,581,575 "
"$40,000,000 ","$31,835,600 "
"$50,000,000 ","$38,590,458 "
"$10,000,000 ","$18,423,914 "
"$40,000,000 ","$24,172,899 "
"$62,000,000 ","$207,500,000 "
"$30,000,000 ","$51,041,856 "
"$12,000,000 ","$107,217,396 "
"$10,000,000 ","$3,275,585 "
"$45,000,000 ","$112,006,296 "
"$13,000,000 ","$7,881,335 "
"$8,000,000 ","$8,864,699 "
"$9,000,000 ","$4,333,569 "
"$14,000,000 ","$13,024,170 "
"$50,000,000 ","$119,180,938 "
"$45,000,000 ","$358,500,000 "
"$20,000,000 ","$11,744,960 "
"$55,000,000 ","$679,850,637 "
"$79,300,000 ","$987,480,140 "
"$70,000,000 ","$131,011,757 "
"$63,000,000 ","$25,052,000 "
"$45,000,000 ","$57,362,581 "
"$100,000,000 ","$365,300,000 "
"$45,000,000 ","$117,615,211 "
"$18,000,000 ","$351,620,129 "
"$10,000,000 ","$126,247 "
"$1,500,000 ","$418,953 "
"$4,500,000 ","$242,895,809 "
"$55,000,000 ","$212,200,000 "
"$28,000,000 ","$102,053,581 "
"$25,000,000 ","$28,307,092 "
"$1,500,000 ","$5,046,118 "
"$45,000,000 ","$94,215,000 "
"$18,000,000 ","$5,828,466 "
"$30,000,000 ","$283,200,000 "
"$8,000,000 ","$212,928,762 "
"$8,000,000 ","$18,090,181 "
"$700,000 ","$11,768,371 "
"$27,000 ","$3,894,240 "
"$20,000,000 ","$13,383,747 "
"$55,000,000 ","$196,565,669 "
"$40,000,000 ","$14,938,149 "
